Product_name,Product_Wine_price1,Product_wine_size,Product_wine_id,Product_Number_review,Product_Alcohol_Vol,Product_Made_in,Product_By,Product_Sugar_content,Product_sweetness_descriptor,Product_Style,Product_Varietal,Product_Release_date
Oggi Botter Pinot Grigio DOC,$9.75,750 mL bottle |,LCBO#: 86199,"4.7
(6)",12%,Italy,Casa Vinicola Botter,3 g/L,XD - Extra Dry,Light & Crisp,Pinot Grigio,
Oggi Botter Primitivo IGT,$9.75,750 mL bottle |,LCBO#: 86421,"4.9
(10)",13%,"Puglia, Italy",Casa Vinicola Botter,6 g/L,XD - Extra Dry,Full-bodied & Firm,Primitivo,
Brights Maria Christina Red,$37.10,4000 mL bagnbox |,LCBO#: 86512,"4.0
(8)",11.50%,Canada,"Arterra Wines Canada, Inc.",27 g/L,M - Medium,Light-bodied & Fruity,Blend,
B & G Cuvee Speciale Rouge,$15.90,1500 mL bottle |,LCBO#: 86710,"5.0
(1)",12%,France,Barton & Guestier S.A.,4 g/L,XD - Extra Dry,Medium-bodied & Fruity,Blend,
Tawse Sketches of Niagara Riesling,$18.95,750 mL bottle |,VINTAGES#: 89029,0,10%,"Ontario, Canada",Tawse Winery,22 g/L,M - Medium,Aromatic & Flavourful,Riesling,01-Apr-21
Tawse Sketches of Niagara Chardonnay,$19.95,750 mL bottle |,VINTAGES#: 89037,"5.0
(1)",13%,"Ontario, Canada",Tawse Winery,2 g/L,XD - Extra Dry,Full-bodied & Rich,Chardonnay,01-Apr-21
Girls' Night Out RosÃ© VQA,$13.95,750 mL bottle |,LCBO#: 89862,"5.0
(1)",12.50%,"Ontario, Canada",Colio Wines Of Canada Ltd.,15 g/L,D - Dry,Easygoing & Fruity,RosÃ©,
Loios Red,$9.80,750 mL bottle |,LCBO#: 89912,"4.8
(6)",14%,Portugal,"J Portugal Ramos, S.A.",7 g/L,D - Dry,Medium-bodied & Fruity,Alentejo,
Finagra Alandra Red,$8.30,750 mL bottle |,LCBO#: 89961,"4.5
(2)",13%,Portugal,Esporao S.A.,2 g/L,XD - Extra Dry,Medium-bodied & Fruity,Alentejo,
Quinta da Aveleda Vinho Verde,$13.20,750 mL bottle |,LCBO#: 89995,0,11%,Portugal,Sociedade Agricola E. Comercial,5 g/L,XD - Extra Dry,Light & Crisp,Vinho Verde,
J.P. Chenet Cabernet Syrah Organic Pays D'OC,$13.55,750 mL bottle |,LCBO#: 90472,"4.0
(1)",13.50%,"South of France, France",Les Grands Chais De France,9 g/L,D - Dry,Medium-bodied & Fruity,Cabernet Sauvignon/Syrah,
Kittling Ridge Kingsgate Reserve Apera (PET),$9.55,750 mL bottle |,LCBO#: 90860,"4.0
(1)",20%,Canada,Magnotta Winery,41 g/L,MS - Medium Sweet,,Fortified Wine,
Red Knot Cabernet Sauvignon,$18.60,750 mL bottle |,LCBO#: 91702,"5.0
(2)",14%,"South Australia, Australia",Shingleback,4 g/L,XD - Extra Dry,Full-bodied & Firm,Cabernet Sauvignon,
Jacob's Creek Reserve Cabernet Sauvignon Limestone Coast,$17.95,750 mL bottle |,LCBO#: 91751,"4.0
(2)",14.50%,"South Australia, Australia",Jacobs Creek Wines,2 g/L,XD - Extra Dry,Full-bodied & Smooth,Cabernet Sauvignon,
Loios White,$9.80,750 mL bottle |,LCBO#: 92114,0,12.50%,"Alentejo, Portugal","J Portugal Ramos, S.A.",2 g/L,XD - Extra Dry,Light & Crisp,Blend,
Wyndham Estate Bin 222 Chardonnay,$13.25,750 mL bottle |,LCBO#: 93401,"4.0
(1)",13.50%,Australia,Wyndham Estate Wines Ltd.,5 g/L,XD - Extra Dry,Full-bodied & Rich,Chardonnay,
Casillero del Diablo Reserva Malbec,$13.95,750 mL bottle |,LCBO#: 94060,0,13%,Chile,Concha Toro S.A.,2 g/L,XD - Extra Dry,Medium-bodied & Fruity,Malbec,
Spumante Bambino,$17.95,4 x 375 mL bottle |,LCBO#: 96966,"2.7
(30)",7%,Canada,"Arterra Wines Canada, Inc.",77 g/L,S - Sweet,Light & Fruity,Sparkling,
Barefoot Chardonnay,$9.95,750 mL bottle |,LCBO#: 97121,"4.2
(296)",13.50%,USA,E. & J. Gallo Winery,8 g/L,D - Dry,Light & Crisp,Chardonnay,
Naked Grape Pinot Grigio,$9.95,750 mL bottle |,LCBO#: 99184,0,12%,Canada,"Arterra Wines Canada, Inc.",6 g/L,XD - Extra Dry,Light & Crisp,Pinot Grigio,
Cavit Collection Pinot Grigio delle Venezie IGT,$13.95,750 mL bottle |,LCBO#: 99218,"5.0
(4)",12%,"Veneto, Italy",Ca'Vit-Consorzio Cantine Sociali,3 g/L,XD - Extra Dry,Light & Crisp,Pinot Grigio,
Woodbridge By Robert Mondavi Chardonnay,$13.95,750 mL bottle |,LCBO#: 99408,"4.3
(26)",13.50%,"California, USA",Robert Mondavi Winery,7 g/L,D - Dry,Aromatic & Flavourful,Chardonnay,
The Prisoner,$54.95,750 mL bottle |,VINTAGES#: 104299,"4.7
(11)",15.20%,"California, USA",Constellation Brands Inc. (Us),5 g/L,XD - Extra Dry,Full-bodied & Smooth,Zinfandel Blend,01-Apr-21
Domaine D'Or White,$37.10,4000 mL bagnbox |,LCBO#: 106179,"5.0
(2)",11.50%,Canada,Andrew Peller Limited,10 g/L,D - Dry,Off-dry & Fruity,Blend,
Jacob's Creek Shiraz Cabernet Sauvignon,$13.75,750 mL bottle |,LCBO#: 106377,"5.0
(2)",14%,Australia,Jacobs Creek Wines,8 g/L,D - Dry,Full-bodied & Smooth,Shiraz/Cabernet Sauvignon,
Gray Fox Chardonnay,$15.55,1500 mL bottle |,LCBO#: 107193,"5.0
(2)",12.50%,"California, USA",The Wine Group,8 g/L,D - Dry,Light & Crisp,Chardonnay,
Gray Fox Cabernet Sauvignon,$15.55,1500 mL bottle |,LCBO#: 107201,0,13%,"California, USA",The Wine Group,9 g/L,D - Dry,Medium-bodied & Fruity,Cabernet Sauvignon,
PJ's Salted Caramel (Panama Jack's),$22.00,750 mL bottle |,LCBO#: 107235,"5.0
(7)",17%,Canada,Andrew Peller Limited,,,Bold & Cafe Flavours,Flavoured Wine,
Frescobaldi Chianti Nipozzano Riserva DOCG,$22.95,750 mL bottle |,LCBO#: 107276,"4.9
(7)",13.50%,"Tuscany, Italy",Marchesi De Frescobaldi,2 g/L,XD - Extra Dry,Full-bodied & Smooth,Chianti,
Angels Gate Gamay Noir VQA,$14.95,750 mL bottle |,LCBO#: 107714,"5.0
(1)",13%,"Ontario, Canada",Angels Gate Winery,2 g/L,XD - Extra Dry,Light-bodied & Fruity,Gamay,
Pelee Island Monarch Red VQA,$12.95,750 mL bottle |,LCBO#: 107763,"2.5
(2)",12.50%,Canada,Pelee Island Vineyard Inc.,6 g/L,XD - Extra Dry,Light-bodied & Fruity,Blend,
Domaine D'Or Red,$37.10,4000 mL bagnbox |,LCBO#: 108688,0,12%,Canada,Andrew Peller Limited,9 g/L,D - Dry,Light-bodied & Fruity,Blend,
L'Epayrie Blanc,$15.95,1500 mL bottle |,LCBO#: 109017,"3.0
(1)",11%,France,Maison Tarride Ledroit & Cie,6 g/L,D - Dry,Light & Crisp,Blend,
Jackson-Triggs Reserve Merlot VQA,$13.95,750 mL bottle |,LCBO#: 109959,"5.0
(2)",13.70%,Canada,"Arterra Wines Canada, Inc.",4 g/L,XD - Extra Dry,Medium-bodied & Fruity,Merlot,
Sandbanks Dunes White VQA,$13.95,750 mL bottle |,LCBO#: 110031,0,12%,"Ontario, Canada","Arterra Wines Canada, Inc.",12 g/L,D - Dry,Light & Crisp,White Blend,
Sandbanks Baco Noir VQA,$15.95,750 mL bottle |,LCBO#: 110049,"3.2
(12)",12%,"Ontario, Canada","Arterra Wines Canada, Inc.",10 g/L,D - Dry,Full-bodied & Firm,Baco Noir,
Brights Pale Dry Select,$9.95,750 mL bottle |,LCBO#: 111476,"5.0
(1)",20%,Canada,"Arterra Wines Canada, Inc.",22 g/L,M - Medium,Dry,Fortified Wine,
Nederburg Cabernet Sauvignon,$13.95,750 mL bottle |,LCBO#: 111526,"4.3
(7)",13.50%,South Africa,Distell,5 g/L,XD - Extra Dry,Full-bodied & Smooth,Cabernet Sauvignon,
Reif Estate Riesling VQA,$13.95,750 mL bottle |,LCBO#: 111799,0,12%,"Ontario, Canada",Reif Winery Inc.,11 g/L,D - Dry,Light & Crisp,Riesling,
Alvear Medium Dry Montilla-Moriles,$13.95,750 mL bottle |,LCBO#: 112789,"5.0
(1)",17%,Spain,Alvear S.A. .,34 g/L,M - Medium,,Sherry Amontillado,
Konzelmann Cabernet Sauvignon Reserve VQA,$15.95,750 mL bottle |,LCBO#: 112946,"5.0
(1)",13%,"Ontario, Canada",Konzelmann Vineyards Inc.,7 g/L,D - Dry,Medium-bodied & Fruity,Cabernet Sauvignon,
Beringer Main & Vine Pinot Grigio,$10.95,750 mL bottle |,LCBO#: 112995,"2.5
(12)",13%,"California, USA",Beringer Vineyards,7 g/L,D - Dry,Light & Crisp,Pinot Grigio,
Beringer Main & Vine Cabernet Sauvignon,$10.95,750 mL bottle |,LCBO#: 113001,"4.1
(9)",13%,"California, USA",Beringer Vineyards,8 g/L,D - Dry,Medium-bodied & Fruity,Cabernet Sauvignon,
Concha Y Toro Frontera Sauvignon Blanc,$15.10,1500 mL bottle |,LCBO#: 113019,"5.0
(1)",12%,Chile,Concha Toro S.A.,8 g/L,D - Dry,Light & Crisp,Sauvignon Blanc,
Concha Y Toro Frontera Cabernet Sauvignon,$9.25,750 mL bottle |,LCBO#: 116426,"5.0
(1)",12%,Chile,Concha Toro S.A.,5 g/L,XD - Extra Dry,Medium-bodied & Fruity,Cabernet Sauvignon,
BarÃ³n de Ley RosÃ© 2020,$13.95,750 mL bottle |,VINTAGES#: 117283,0,13%,"Rioja, Spain",Baron De Ley,2 g/L,XD - Extra Dry,Medium-bodied & Dry,RosÃ© - Dry,21-Aug-21
ViÃ±a Cobos Felino Malbec 2020,$19.95,750 mL bottle |,VINTAGES#: 118067,0,14.50%,"Mendoza, Argentina",Vina Cobos S.A.,2 g/L,XD - Extra Dry,Medium-bodied & Fruity,Malbec,11-Dec-21
ChÃ¢teau Saint-Roch ChimÃ¨res Grenache/Syrah/Carignan 2018,$19.95,750 mL bottle |,VINTAGES#: 119354,0,14%,"Midi, France",Chateau St. Roch,2 g/L,XD - Extra Dry,Full-bodied & Smooth,Grenache/Syrah/Carignan,11-Dec-21
Lindemans Bin 45 Cabernet Sauvignon,$11.95,750 mL bottle |,LCBO#: 119628,"5.0
(2)",14%,Australia,Lindeman's Wines,11 g/L,D - Dry,Full-bodied & Smooth,Cabernet Sauvignon,
Taylor Fladgate 10-Year-Old Tawny Port,$35.95,750 mL bottle |,VINTAGES#: 121749,"5.0
(2)",19.80%,"Douro, Portugal","Taylor, Fladgate & Yeatman",102 g/L,S - Sweet,Sweet,Port,01-Apr-21
The Beachhouse Sauvignon Blanc,$11.95,750 mL bottle |,LCBO#: 122390,"1.0
(1)",13%,"Western Cape, South Africa",Dgb (Pty ) Ltd.,6 g/L,XD - Extra Dry,Light & Crisp,Sauvignon Blanc,
Henkell Trocken,$14.95,750 mL bottle |,LCBO#: 122689,"4.8
(6)",11.50%,Germany,Henkell & Sohnlein Sektkellereien,22 g/L,M - Medium,Light & Fruity,Sparkling,
Speck Bros. Sibling Rivalry White VQA,$14.95,750 mL bottle |,LCBO#: 126144,0,12%,"Ontario, Canada",Henry Of Pelham Family Est. Winery,14 g/L,D - Dry,Aromatic & Flavourful,Blend,
Speck Bros. Sibling Rivalry Red VQA,$14.95,750 mL bottle |,LCBO#: 126151,0,13.50%,"Ontario, Canada",Henry Of Pelham Family Est. Winery,15 g/L,D - Dry,Full-bodied & Smooth,Cabernet/Merlot,
L'Epayrie Special Reserve Rouge,$15.95,1500 mL bottle |,LCBO#: 128520,0,12%,France,Maison Tarride Ledroit & Cie,7 g/L,D - Dry,Medium-bodied & Fruity,Blend,
Meiomi Pinot Noir,$22.95,750 mL bottle |,VINTAGES#: 130138,"4.4
(162)",14.50%,"California, USA",Constellation Brands Inc. (Us),17 g/L,D - Dry,Full-bodied & Smooth,Pinot Noir,01-Apr-21
Tawse Growers Blend Pinot Noir,$25.95,750 mL bottle |,VINTAGES#: 130989,"3.2
(6)",12.50%,"Ontario, Canada",Tawse Winery,2 g/L,XD - Extra Dry,Medium-bodied & Fruity,Pinot Noir,02-Oct-21
ViÃ±a Cobos Felino Cabernet Sauvignon 2019,$19.95,750 mL bottle |,VINTAGES#: 132365,0,14.50%,"Mendoza, Argentina",Paul Hobbs,2 g/L,XD - Extra Dry,Full-bodied & Firm,Cabernet Sauvignon Blend,07-Aug-21
XOXO Pinot Grigio Chardonnay,$19.95,1500 mL bottle |,LCBO#: 132506,"4.5
(2)",12%,"Ontario, Canada",Andrew Peller Limited,10 g/L,D - Dry,Light & Crisp,Blend,
Ogier Cotes Du Ventoux Rose AOC,$14.45,750 mL bottle |,LCBO#: 134916,"4.5
(4)",13%,"RhÃ´ne, France",Caves Des Papes,2 g/L,XD - Extra Dry,Medium-bodied & Dry,RosÃ©,
Adesso Chardonnay D'Italia,$15.10,1500 mL bottle |,LCBO#: 134940,"5.0
(1)",12%,"Veneto, Italy",Caviro Soc. Coop.,6 g/L,XD - Extra Dry,Light & Crisp,Chardonnay,
Open Cab 2 Merlot VQA,$12.95,750 mL bottle |,LCBO#: 134957,0,12%,"Ontario, Canada","Arterra Wines Canada, Inc.",11 g/L,D - Dry,Medium-bodied & Fruity,Cabernet/Merlot,
Open Riesling GewÃ¼rztraminer VQA,$12.95,750 mL bottle |,LCBO#: 134965,"4.5
(2)",11.10%,"Ontario, Canada","Arterra Wines Canada, Inc.",22 g/L,M - Medium,Aromatic & Flavourful,Blend,
Kaiken Ultra Cabernet Sauvignon 2018,$19.95,750 mL bottle |,VINTAGES#: 135202,0,14.50%,"Mendoza, Argentina",Kaiken S.A,2 g/L,XD - Extra Dry,Medium-bodied & Fruity,Cabernet Sauvignon/Malbec,27-Nov-21
Pelee Island Pinot Noir VQA,$14.95,750 mL bottle |,LCBO#: 135939,"3.0
(5)",13%,"Ontario, Canada",Pelee Island Vineyard Inc.,5 g/L,XD - Extra Dry,Light-bodied & Fruity,Pinot Noir,
Pelee Island GewÃ¼ztraminer,$11.95,750 mL bottle |,LCBO#: 135970,"4.5
(2)",12.50%,Canada,Pelee Island Vineyard Inc.,14 g/L,D - Dry,Aromatic & Flavourful,GewÃ¼rztraminer,
Pelee Island Chardonnay VQA,$12.45,750 mL bottle |,LCBO#: 136044,0,12.50%,"Ontario, Canada",Pelee Island Vineyard Inc.,6 g/L,XD - Extra Dry,Light & Crisp,Chardonnay,
Campo Viejo Rioja Reserva,$18.45,750 mL bottle |,LCBO#: 137810,"4.4
(8)",13.50%,"Rioja, Spain",Pernod Ricard Winemakers Spain S.A.,2 g/L,XD - Extra Dry,Full-bodied & Smooth,Rioja,
Sandbanks Riesling VQA,$14.95,750 mL bottle |,LCBO#: 139022,"4.0
(1)",11.80%,"Ontario, Canada","Arterra Wines Canada, Inc.",16 g/L,D - Dry,Aromatic & Flavourful,Riesling,
Bulls Blood Merlot-Keikfrankos,$12.95,1000 mL bottle |,LCBO#: 139980,"4.0
(2)",12%,Hungary,Egervin,2 g/L,XD - Extra Dry,Medium-bodied & Fruity,Merlot,
Sogrape Gazela Vinho Verde,$10.00,750 mL bottle |,LCBO#: 141432,"4.4
(5)",9%,"Vinho Verde, Portugal",Sogrape,13 g/L,D - Dry,Light & Crisp,Vinho Verde,
Galil Mountain Shiraz KP,$22.35,750 mL bottle |,VINTAGES#: 141580,0,14.50%,"Galilee, Israel",Galil Mountain Winery,4 g/L,XD - Extra Dry,Full-bodied & Smooth,Shiraz/Syrah,03-Apr-21
Pasqua Passimento Rosso IGT,$14.85,750 mL bottle |,LCBO#: 141952,,14%,"Veneto, Italy",Fratelli Pasqua S.A.S.,11 g/L,D - Dry,Full-bodied & Smooth,Blend,
Majella The Musician Cabernet/Shiraz,$19.95,750 mL bottle |,VINTAGES#: 142018,"5.0
(2)",14.50%,"South Australia, Australia",Inland Trading Co.,5 g/L,XD - Extra Dry,Full-bodied & Smooth,Shiraz/Cabernet,01-Apr-21
Lindemans Bin 65 Chardonnay,$10.95,750 mL bottle |,LCBO#: 142117,"4.0
(4)",13%,Australia,Lindeman's Wines,8 g/L,D - Dry,Full-bodied & Rich,Chardonnay,
Small Gully The Formula Robert's Shiraz,$19.95,750 mL bottle |,VINTAGES#: 142935,"4.8
(4)",15.90%,"South Australia, Australia",Small Gully,2 g/L,XD - Extra Dry,Full-bodied & Smooth,Shiraz/Syrah,01-Apr-21
Cusumano Nero D'Avola Terre Siciliane IGT,$13.00,750 mL bottle |,LCBO#: 143164,"5.0
(5)",14%,"Sicily, Italy",Cusumano S.P.I.,2 g/L,XD - Extra Dry,Full-bodied & Firm,Nero d'Avola,
Fantini Negroamaro Puglia IGP,$9.30,750 mL bottle |,LCBO#: 143735,"5.0
(2)",14%,"Puglia, Italy",Fantini Group Vini Srl,13 g/L,D - Dry,Medium-bodied & Fruity,Negroamaro,
Spinelli Cabernet Sauvignon,$8.75,750 mL bottle |,LCBO#: 143750,"3.3
(3)",13%,"Puglia, Italy",Spinelli Srl,6 g/L,XD - Extra Dry,Medium-bodied & Fruity,Cabernet Sauvignon,
Montecillo Rioja DOCa Crianza,$14.95,750 mL bottle |,LCBO#: 144493,"5.0
(1)",13.50%,"Rioja, Spain",Osborne Y Cia,3 g/L,XD - Extra Dry,Full-bodied & Smooth,Rioja,
Konzelmann Shiraz VQA,$15.95,750 mL bottle |,LCBO#: 144857,0,13%,"Ontario, Canada",Konzelmann Vineyards Inc.,10 g/L,D - Dry,Full-bodied & Smooth,Shiraz/Syrah,
Wayne Gretzky No. 99 Riesling VQA,$14.95,750 mL bottle |,LCBO#: 144865,"5.0
(1)",11.30%,"Ontario, Canada",No. 99 Wayne Gretzky Estates,18 g/L,M - Medium,Off-dry & Fruity,Riesling,01-Feb-14
Lindemans Bin 50 Shiraz,$11.95,750 mL bottle |,LCBO#: 145367,0,14%,Australia,Lindeman's Wines,9 g/L,D - Dry,Full-bodied & Smooth,Shiraz/Syrah,
Pelee Island Lighthouse Riesling VQA,$13.95,750 mL bottle |,LCBO#: 145417,"3.3
(4)",12.50%,"Ontario, Canada",Pelee Island Vineyard Inc.,8 g/L,XD - Extra Dry,Light & Crisp,Riesling,
Pelee Island Lighthouse Cabernet Franc VQA,$14.95,750 mL bottle |,LCBO#: 145441,"5.0
(1)",13%,"Ontario, Canada",Pelee Island Vineyard Inc.,6 g/L,XD - Extra Dry,Medium-bodied & Fruity,Cabernet Franc,
Inniskillin Riesling Pinot Grigio VQA,$14.95,750 mL bottle |,LCBO#: 145458,0,11%,"Ontario, Canada","Arterra Wines Canada, Inc.",14 g/L,D - Dry,Light & Crisp,Blend,
Cusumano Syrah IGT,$14.15,750 mL bottle |,LCBO#: 145490,"4.0
(1)",13%,"Sicily, Italy",Cusumano S.P.I.,4 g/L,XD - Extra Dry,Full-bodied & Firm,Shiraz/Syrah,
Marchesi de' Frescobaldi Tenuta di Castiglioni,$22.95,750 mL bottle |,VINTAGES#: 145920,"5.0
(4)",14%,"Tuscany, Italy",Marchesi De Frescobaldi,5 g/L,XD - Extra Dry,Full-bodied & Firm,Cabernet Sauvignon/Sangiovese,01-Apr-21
Passion Of Portugal Red,$8.90,750 mL bottle |,LCBO#: 146449,"3.8
(4)",13%,"Lisboa, Portugal",Passion Of Portugal,10 g/L,D - Dry,Medium-bodied & Fruity,Syrah Blend,
Villa Maria Private Bin Pinot Noir Marlborough,$19.95,750 mL bottle |,LCBO#: 146548,0,13.50%,"Marlborough, New Zealand",Villa Maria Estates Ltd.,4 g/L,XD - Extra Dry,Medium-bodied & Fruity,Pinot Noir,
Bouchard PÃ¨re & Fils Petit Chablis,$27.95,750 mL bottle |,LCBO#: 51466,"5.0
(1)",13%,"Burgundy, France",Bouchard Pere & Fils,2 g/L,XD - Extra Dry,Light & Crisp,Chardonnay,
Bouchard PÃ¨re & Fils Macon-Lugny Saint-Pierre,$23.95,750 mL bottle |,LCBO#: 51573,"4.0
(1)",13%,"Burgundy, France",Bouchard Pere & Fils,4 g/L,XD - Extra Dry,Light & Crisp,Chardonnay,
Peninsula Ridge Sauvignon Blanc VQA,$15.95,750 mL bottle |,LCBO#: 53678,"5.0
(1)",13.30%,"Ontario, Canada",Peninsula Ridge Estates Winery,2 g/L,XD - Extra Dry,Light & Crisp,Sauvignon Blanc,
Jaffelin Bourgogne Aligote AOC,$18.45,750 mL bottle |,LCBO#: 53868,"4.0
(1)",12.50%,"Burgundy, France",Maison Jaffelin,2 g/L,XD - Extra Dry,Light & Crisp,Burgundy,
Villa Antinori Toscana IGT,$25.15,750 mL bottle |,LCBO#: 53876,"5.0
(1)",13.50%,"Tuscany, Italy",Marchesi Antinori S.P.A.,2 g/L,XD - Extra Dry,Full-bodied & Smooth,Sangiovese,
Barefoot Pinot Grigio,$10.95,750 mL bottle |,LCBO#: 53983,"4.3
(840)",12%,"California, USA",E. & J. Gallo Winery,9 g/L,D - Dry,Light & Crisp,Pinot Grigio,
Barefoot Merlot,$10.95,750 mL bottle |,LCBO#: 53991,"4.7
(3)",13.50%,"California, USA",E. & J. Gallo Winery,9 g/L,D - Dry,Medium-bodied & Fruity,Merlot,
Stoneleigh Marlborough Pinot Noir,$19.95,750 mL bottle |,LCBO#: 54353,"2.3
(3)",12%,New Zealand,Pernod Ricard Pacific Pty Ltd,4 g/L,XD - Extra Dry,Medium-bodied & Fruity,Pinot Noir,
Smoking Loon Cabernet Sauvignon,$15.85,750 mL bottle |,LCBO#: 55517,"4.0
(2)",13.50%,USA,Don Sebastiani & Sons,5 g/L,XD - Extra Dry,Full-bodied & Smooth,Cabernet Sauvignon,
Latour Chardonnay Bourgogne,$23.15,750 mL bottle |,LCBO#: 55533,"4.0
(3)",13%,"Burgundy, France",Maison Louis Latour,3 g/L,XD - Extra Dry,Full-bodied & Rich,Burgundy,
Chateau Ste. Michelle Indian Wells Cabernet Sauvignon 2018,$26.95,750 mL bottle |,VINTAGES#: 55764,"4.8
(26)",14%,"Washington, USA",Chat Ste Michelle,3 g/L,XD - Extra Dry,Full-bodied & Firm,Cabernet Sauvignon/Syrah,08-Jan-22
Sterling Vintner's Collection Cabernet Sauvignon,$16.95,750 mL bottle |,LCBO#: 56366,"3.4
(7)",13.50%,USA,Sterling Vineyards,6 g/L,XD - Extra Dry,Full-bodied & Smooth,Cabernet Sauvignon,
Bouchard PÃ¨re & Fils Petit Chablis,$27.95,750 mL bottle |,LCBO#: 51466,,,,,,,,,
Bouchard PÃ¨re & Fils Macon-Lugny Saint-Pierre,$23.95,750 mL bottle |,LCBO#: 51573,,,,,,,,,
Peninsula Ridge Sauvignon Blanc VQA,$15.95,750 mL bottle |,LCBO#: 53678,,,,,,,,,
Jaffelin Bourgogne Aligote AOC,$18.45,750 mL bottle |,LCBO#: 53868,,,,,,,,,
Villa Antinori Toscana IGT,$25.15,750 mL bottle |,LCBO#: 53876,,,,,,,,,
Barefoot Pinot Grigio,$10.95,750 mL bottle |,LCBO#: 53983,,,,,,,,,
Barefoot Merlot,$10.95,750 mL bottle |,LCBO#: 53991,,,,,,,,,
Stoneleigh Marlborough Pinot Noir,$19.95,750 mL bottle |,LCBO#: 54353,,,,,,,,,
Smoking Loon Cabernet Sauvignon,$15.85,750 mL bottle |,LCBO#: 55517,,,,,,,,,
Latour Chardonnay Bourgogne,$23.15,750 mL bottle |,LCBO#: 55533,,,,,,,,,
Chateau Ste. Michelle Indian Wells Cabernet Sauvignon 2018,$26.95,750 mL bottle |,VINTAGES#: 55764,,,,,,,,,
Sterling Vintner's Collection Cabernet Sauvignon,$16.95,750 mL bottle |,LCBO#: 56366,,,,,,,,,
Bouchard PÃ¨re & Fils Pouilly-Fuisse,$36.95,750 mL bottle |,LCBO#: 56580,0,12.50%,"Burgundy, France",Bouchard Pere & Fils,2 g/L,XD - Extra Dry,Full-bodied & Rich,Burgundy,
13th Street Cabernet/Merlot 2019,$21.95,750 mL bottle |,VINTAGES#: 56598,"3.0
(1)",12%,"Ontario, Canada",Thirteenth Street Wine Corp.,6 g/L,XD - Extra Dry,Medium-bodied & Fruity,Cabernet/Merlot,02-Oct-21
ChÃ¢teau des Charmes Gamay Noir VQA,$15.95,750 mL bottle |,LCBO#: 57349,"3.0
(2)",13%,"Ontario, Canada",Chateau Des Charmes,2 g/L,XD - Extra Dry,Light-bodied & Fruity,Gamay,
Clayhouse Cabernet Sauvignon 2018,$18.95,750 mL bottle |,VINTAGES#: 57869,0,14.50%,"California, USA",Vintage Wine Estates,4 g/L,D - Dry,Full-bodied & Smooth,Cabernet Sauvignon Blend,08-Jan-22
Kaiken Malbec,$15.95,750 mL bottle |,VINTAGES#: 58339,"3.5
(4)",14.50%,"Mendoza, Argentina",Kaiken S.A.,3 g/L,XD - Extra Dry,Full-bodied & Smooth,Malbec,01-Apr-21
Jackson-Triggs Reserve Sauvignon Blanc VQA,$13.95,750 mL bottle |,LCBO#: 58438,0,12.30%,"Ontario, Canada","Arterra Wines Canada, Inc.",5 g/L,XD - Extra Dry,Light & Crisp,Sauvignon Blanc,
Angels Gate Gewurztraminer VQA,$15.95,750 mL bottle |,LCBO#: 58594,"3.0
(5)",12.30%,"Ontario, Canada",Angels Gate Winery,4 g/L,XD - Extra Dry,Aromatic & Flavourful,GewÃ¼rztraminer,
Peller Estates Family Series Cabernet Merlot VQA,$12.95,750 mL bottle |,LCBO#: 58628,"3.5
(2)",13%,"Ontario, Canada",Andrew Peller Limited,6 g/L,D - Dry,Medium-bodied & Fruity,Cabernet/Merlot,
XOXO Pinot Grigio Chardonnay,$10.95,750 mL bottle |,LCBO#: 58677,"4.5
(2)",12%,Canada,Andrew Peller Limited,10 g/L,D - Dry,Light & Crisp,Blend,
7 Deadly Zins Old Vine Zinfandel,$24.95,750 mL bottle |,VINTAGES#: 59311,"4.6
(9)",14.50%,"California, USA",The Wine Group,6 g/L,D - Dry,Full-bodied & Smooth,Zinfandel,01-Apr-21
"Deinhard Riesling Dry, Rheinhessen",$13.10,750 mL bottle |,LCBO#: 60004,0,12%,"Rheinhessen, Germany",Deinhard & Co,10 g/L,D - Dry,Light & Crisp,Riesling,
20 Bees Pinot Grigio VQA,$12.95,750 mL bottle |,LCBO#: 60707,"4.0
(1)",11.70%,"Ontario, Canada",Diamond Estates Wines & Spirits Ltd,9 g/L,D - Dry,Light & Crisp,Pinot Grigio,
Beringer Main & Vine White Zinfandel,$20.95,1500 mL bottle |,LCBO#: 60715,"5.0
(9)",9%,"California, USA",Beringer Vineyards,36 g/L,MS - Medium Sweet,Soft & Off-dry,RosÃ©,
Peninsula Ridge Merlot VQA,$15.95,750 mL bottle |,LCBO#: 61101,"3.0
(1)",13.10%,"Ontario, Canada",Peninsula Ridge Estates Winery,5 g/L,XD - Extra Dry,Medium-bodied & Fruity,Merlot,
Casillero del Diablo Reserva Cabernet Sauvignon,$24.95,1500 mL bottle |,LCBO#: 61663,"4.7
(10)",13.50%,Chile,Concha Toro S.A.,5 g/L,XD - Extra Dry,Full-bodied & Firm,Cabernet Sauvignon,
Peller Family Vineyards Dry White,$11.55,1000 mL tetra |,LCBO#: 63313,0,11.80%,Canada,Andrew Peller Limited,15 g/L,D - Dry,Light & Crisp,Blend,
Wayne Gretzky Chardonnay VQA,$14.95,750 mL bottle |,LCBO#: 63826,"5.0
(2)",12.70%,"Ontario, Canada",No. 99 Wayne Gretzky Estates,3 g/L,XD - Extra Dry,Light & Crisp,Chardonnay,
